name,circuit_difficulty
Albert Park Grand Prix Circuit,49.194107452339686
Sepang International Circuit,48.567961165048544
Bahrain International Circuit,50.26136363636363
Circuit de Barcelona-Catalunya,47.11462450592885
Istanbul Park,49.401041666666664
Circuit de Monaco,44.47415865384615
Circuit Gilles Villeneuve,42.989543726235745
Circuit de Nevers Magny-Cours,45.035714285714285
Silverstone Circuit,43.307799442896936
Hockenheimring,41.588235294117645
Hungaroring,45.04390779363337
Valencia Street Circuit,47.00892857142857
Circuit de Spa-Francorchamps,47.412559618441975
Autodromo Nazionale di Monza,42.72331154684096
Marina Bay Street Circuit,49.70125786163522
Fuji Speedway,46.20879120879121
Shanghai International Circuit,49.488950276243095
Autódromo José Carlos Pace,45.99786552828175
Indianapolis Motor Speedway,37.268760907504365
Nürburgring,44.200819672131146
Autodromo Enzo e Dino Ferrari,41.89032258064516
Suzuka Circuit,45.18963337547408
Yas Marina Circuit,50.163690476190474
Autódromo Juan y Oscar Gálvez,49.35267857142857
Circuito de Jerez,36.029411764705884
Autódromo do Estoril,37.19346049046322
Okayama International Circuit,40.38461538461539
Adelaide Street Circuit,37.01923076923077
Kyalami,41.44268774703557
Donington Park,40.38461538461539
Autódromo Hermanos Rodríguez,45.098566308243726
Phoenix street circuit,29.166666666666668
Circuit Paul Ricard,39.32432432432432
Korean International Circuit,44.734042553191486
Autódromo Internacional Nelson Piquet,36.71328671328671
Detroit Street Circuit,38.481675392670155
Brands Hatch,39.3048128342246
Circuit Park Zandvoort,46.264667535853974
Zolder,37.234042553191486
Dijon-Prenois,36.8421052631579
Fair Park,40.38461538461539
Long Beach,38.18181818181818
Las Vegas Street Circuit,35.0
Jarama,39.597457627118644
Watkins Glen,43.381443298969074
Scandinavian Raceway,39.62264150943396
Mosport International Raceway,42.34848484848485
Montjuïc,48.75
Nivelles-Baulers,36.8421052631579
Charade Circuit,51.666666666666664
Circuit Mont-Tremblant,51.21951219512195
Rouen-Les-Essarts,56.01063829787234
Le Mans,65.0
Reims-Gueux,47.539370078740156
Prince George Circuit,42.0
Zeltweg,52.5
Aintree,40.79710144927536
Circuito da Boavista,65.0
Riverside International Raceway,45.65217391304348
AVUS,65.0
Monsanto Park Circuit,62.5
Sebring International Raceway,55.0
Ain Diab,42.0
Pescara Circuit,62.5
Circuit Bremgarten,53.75
Circuit de Pedralbes,50.0
Buddh International Circuit,45.142857142857146
Circuit of the Americas,51.38211382113821
Red Bull Ring,44.328523862375135
Sochi Autodrom,51.68711656441718
Baku City Circuit,52.0679012345679
Autódromo Internacional do Algarve,52.625
Autodromo Internazionale del Mugello,52.5
Jeddah Corniche Circuit,52.6875
Losail International Circuit,52.666666666666664
Miami International Autodrome,52.583333333333336
Las Vegas Strip Street Circuit,52.75
